date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
2004065,378.5335113,383.3522837,68.5077698,5531,620,132
2004081,637.5079319,611.8130086,96.1206236,5531,795,216
2004097,981.524852,960.1186039,100.0489496,5531,1158,392
2004113,1289.7377123,1262.6432358,110.9706432,5531,1416,558
2004129,1501.4449923,1470.5062722,130.3865598,5531,1620,667
2004145,1469.4931735,1443.5223374,134.2816912,5531,1649,712
2004161,1281.6057324,1255.2345735,118.2256036,5531,1406,577
2004177,1197.3964138,1186.6386964,101.1370637,5531,1411,551
2004193,1321.478057,1298.3143052,112.8530328,5531,1481,503
2004209,1425.5201855,1379.4152522,133.1437484,5531,1529,536
2004225,1349.6858954,1315.4679972,124.5514674,5531,1470,520
2004241,1269.5609256,1239.8674084,112.7038712,5531,1361,500
2004257,1113.5924326,1081.9350036,105.837621,5531,1196,454
2004273,989.343314,963.6368828,97.6033368,5531,1113,445
2004289,596.5437322,589.8423807,63.1221247,5531,759,285
2004305,344.4794491,351.4997035,53.1739064,5531,556,193
2004321,204.4840143,214.3475542,43.6880383,5531,377,104
2004337,158.5197911,170.887198,44.7594185,5531,343,75
2004353,71,77.9224188,23.086164,5531,166,25
2005001,232.4760907,244.1857217,55.9313115,5531,451,80
2005017,35,38.7284971,12.4071492,5531,89,15
2005033,216.3489883,228.8306279,51.1027195,5531,419,97
2005049,176.5438199,189.6729774,43.181115,5531,366,83
2005065,288.4505343,293.8227861,46.8059675,5531,520,119
2005081,765.5725507,747.528938,93.6715688,5531,965,284
2005097,993.4253438,974.7125177,97.9277793,5531,1165,386
2005113,1313.4249277,1278.8254934,126.2373516,5531,1392,528
2005129,1617.5420757,1578.4115562,147.8429325,5531,1734,730
2005145,1325.6570298,1293.6479929,120.6999846,5531,1429,608
2005161,1417.6651927,1394.4004354,120.1789914,5531,1618,713
2005177,1293.5554732,1270.1961411,107.4436564,5531,1438,620
2005193,1201.419698,1200.2038772,101.0669499,5531,1443,656
2005209,1309.5071832,1287.6146042,105.5717349,5531,1478,628
2005225,1201.5687208,1181.7826018,99.5963177,5531,1380,627
