date,stage_cm,discharge_m3s,notes
1970-04-05,32.88976102,0.15318121499751683,NA
1970-04-06,33.99574836,0.1708226582034553,NA
1970-04-09,37.31557923,0.2322257788511975,NA
1970-04-10,35.57502278,0.19839916048041678,NA
1970-04-11,37.13747752,0.22859279645937677,NA
1970-04-12,39.89964258,0.2895658291135594,NA
1970-04-13,63.32525054,1.327099160927012,NA
1970-04-14,73.06739552,2.126787909139304,NA
1970-04-15,52.677646180000004,0.7234446647015962,NA
1970-04-16,38.90513234,0.2664518888321991,NA
1970-04-17,38.17403696,0.2503027665143376,NA
1970-04-18,43.0469783,0.371895298539211,NA
1970-04-19,47.6434228,0.5195566694140306,NA
1970-04-20,42.13591235,0.34657893668119605,NA
1970-04-21,38.18805336,0.25060578770768166,NA
1970-04-22,39.75331137,0.2860805148872856,NA
1970-04-24,40.13007218,0.29511399190828036,NA
1970-04-26,39.58922606,0.28220720972377783,NA
1970-04-27,38.12049431,0.24914757499138243,NA
1970-04-29,37.21036279,0.2300747136788256,NA
1970-05-01,38.13637956,0.24948991357564904,NA
1970-05-03,37.59366459,0.2379783956862047,NA
1970-05-04,34.93643563,0.18690176729834956,NA
1970-05-05,36.50075922,0.21592836777892016,NA
1970-05-07,37.97696638,0.2460692638767889,NA
1970-05-08,37.33865957,0.23269950426902777,NA
1970-05-09,36.88499544,0.22351068552238187,NA
1970-05-12,37.72196136,0.24066556482197118,NA
1970-05-14,36.90274955,0.22386545261669175,NA
1970-05-15,35.16406195,0.19094527504854744,NA
1970-05-18,35.17434065,0.1911292885604561,NA
1970-05-20,33.98677786,0.1706741460826816,NA
1970-05-21,37.85025814,0.24337379812599552,NA
1970-05-22,35.0055832,0.18812371909876321,NA
1970-05-23,32.52925923,0.14771690361815837,NA
1970-05-25,31.98747868,0.1397624039871283,NA
1970-05-26,33.82736468,0.16804993920681896,NA
1970-05-27,33.8348401,0.16817236470626729,NA
1970-05-30,32.74380358,0.15095219866214146,NA
1970-06-02,32.38853459,0.14562122763906143,NA
1970-06-05,32.5843904,0.14854361488261425,NA
1970-06-07,32.04167543,0.1405443629615054,NA
1970-06-11,32.33031981,0.14476037994857058,NA
